Ticker,Nombre,Precio,Score,Señal,RSI,SMA20,SMA50,SMA200,ATR,ATR Ratio,Volatilidad Anual,Volumen Actual,Volumen Medio (Mes),Volumen Relativo,Soporte,Resistencia,Stop Loss,Take Profit
ROST,"Ross Stores, Inc.",205.64,3,SELL,76.19,196.17,190.24,159.21,3.71,0.018,0.2548,4422700,2399285,1.84,200.47,208.6,200.47,208.6
MMM,3M Company,165.32,3,SELL,50.13,165.66,163.25,156.8,4.04,0.0245,0.3103,5367000,4151947,1.29,162.7,168.12,162.7,168.12
MMC,"Marsh & McLennan Companies, Inc.",186.74,3,SELL,60.09,180.74,182.38,196.54,4.13,0.0221,0.2291,3363739,3063569,1.1,178.0,191.62,180.54,191.62
WAT,Waters Corporation,319.38,3,SELL,31.27,341.29,369.41,343.39,12.1,0.0379,0.3826,2117400,1630876,1.3,310.64,331.89,310.64,331.89
MKTX,MarketAxess Holdings Inc.,192.0,3,SELL,74.3,174.76,175.07,185.77,4.93,0.0257,0.2736,1012500,630809,1.61,182.75,197.35,184.6,197.35
SEE,Sealed Air Corporation,41.88,3,SELL,54.2,41.89,41.71,35.77,0.11,0.0027,0.3558,4089900,3124685,1.31,41.81,41.98,41.81,41.98
WAB,Westinghouse Air Brake Technologies Corporation,263.95,3,SELL,75.88,252.14,234.47,208.76,5.48,0.0208,0.2627,1382400,994290,1.39,260.22,266.97,260.22,266.97
NUE,Nucor Corporation,176.88,3,SELL,45.61,183.81,174.9,147.17,5.02,0.0284,0.3654,2367000,1930704,1.23,172.76,181.13,172.76,181.13
M,"Macy's, Inc.",19.78,3,SELL,38.06,21.4,21.77,17.04,0.93,0.0472,0.5198,8017300,6809271,1.18,18.8,21.46,18.8,21.46
LNT,Alliant Energy Corporation,72.34,3,SELL,70.37,69.1,67.18,64.98,1.24,0.0172,0.1731,5649800,3486342,1.62,71.01,73.04,71.01,73.04
PVH,PVH Corp.,68.6,3,SELL,52.65,67.52,66.9,75.26,2.31,0.0337,0.5321,990200,862647,1.15,66.88,70.78,66.88,70.78
REG,Regency Centers Corporation,79.0,3,SELL,70.51,75.98,72.27,70.42,1.37,0.0173,0.1907,2420500,1400223,1.73,77.43,79.82,77.43,79.82
LNC,Lincoln National Corporation,34.3,3,SELL,30.64,39.3,41.68,38.53,1.68,0.0489,0.4096,5211400,2645600,1.97,32.15,38.1,32.15,37.65
WMB,"The Williams Companies, Inc.",74.72,3,SELL,79.52,70.67,64.97,60.37,1.64,0.022,0.2527,10392900,8395447,1.24,72.51,76.26,72.51,76.26
O,Realty Income Corporation,67.0,3,SELL,71.9,64.26,60.68,57.48,1.09,0.0162,0.1713,13322100,6988852,1.91,65.18,68.38,65.37,68.38
PWR,"Quanta Services, Inc.",563.08,3,SELL,70.66,521.99,475.19,418.49,20.16,0.0358,0.3628,1537400,1231090,1.25,542.8,578.65,542.8,578.65
LB,LandBridge Company LLC,74.5,3,SELL,70.99,62.18,57.02,59.71,4.06,0.0544,0.6614,981500,577180,1.7,67.03,79.03,68.42,79.03
